lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon,lucas_matching_ids,split,source,id,x_EPSG_32631,y_EPSG_32631
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,6874.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,476.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,11157.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,8784.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,4530.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,10520.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,9458.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,982.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,51.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,3935.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,11193.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2421.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2159.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,9030.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2932.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,1304.0,212,POINT (3.099038 43.134956),True,1335196 1333325 ,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597
3.519491,43.317678,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,22036,POINT (3.519491 43.317678),True,133503 ,train,glc24_CBN-Med,22036,542124.0951854414,4796224.393347101
