,lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon
0,3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,6874.0,212,POINT (3.099038 43.134956),True
16,5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6039.0,878,POINT (5.71258 43.542),True
38,3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,1587.0,1650,POINT (3.0315 42.749162),True
46,4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,7244.0,1741,POINT (4.991745 43.433207),True
56,3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,7871.0,1972,POINT (3.958843 43.567651),True
65,3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,822.0,2472,POINT (3.141879 43.259381),True
71,4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,11157.0,3014,POINT (4.160367 44.311934),True
98,5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,7714.0,4544,POINT (5.38642 44.0729),True
121,3.038266,42.70752,2020,10.0,50.0,MEDITERRANEAN,France,5876.0,5316,POINT (3.038266 42.70752),True
131,2.852457,43.041303,2021,5.0,4.0,MEDITERRANEAN,France,2761.0,6811,POINT (2.852457 43.041303),True
134,7.47635,43.9648,2019,10.0,-inf,MEDITERRANEAN,France,3775.0,7917,POINT (7.47635 43.9648),True
193,4.17761,43.84839,2017,1.0,,MEDITERRANEAN,France,11193.0,7950,POINT (4.17761 43.84839),True
216,4.984343,43.464208,2021,3.0,20.0,MEDITERRANEAN,France,5980.0,9112,POINT (4.984343 43.464208),True
224,2.33904,43.14501,2018,1.0,,MEDITERRANEAN,France,876.0,9576,POINT (2.33904 43.14501),True
246,7.036106,43.791196,2020,9.0,16.0,MEDITERRANEAN,France,7529.0,9805,POINT (7.036106 43.791196),True
270,5.486416,43.204942,2019,10.0,40.0,MEDITERRANEAN,France,4431.0,11039,POINT (5.486416 43.204942),True
284,3.401909,43.33027,2021,4.0,200.0,MEDITERRANEAN,France,9581.0,11406,POINT (3.401909 43.33027),True
306,3.513773,43.328582,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,14316,POINT (3.513773 43.328582),True
308,6.54386,43.1932,2020,10.0,10.0,MEDITERRANEAN,France,3958.0,14533,POINT (6.54386 43.1932),True
312,3.074258,43.172863,2021,6.0,100.0,MEDITERRANEAN,France,476.0,14583,POINT (3.074258 43.172863),True
324,5.21853,43.78978,2018,1.0,,MEDITERRANEAN,France,476.0,14930,POINT (5.21853 43.78978),True
