Unnamed: 0,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon,lon,lat,subset,id
0,2021,5.0,100.0,MEDITERRANEAN,France,6874.0,212,POINT (3.099038 43.134956),True,3.099038,43.134956,train,212
16,2021,10.0,200.0,MEDITERRANEAN,France,6039.0,878,POINT (5.71258 43.542),True,5.71258,43.542,train,878
38,2018,10.0,16.0,MEDITERRANEAN,France,1587.0,1650,POINT (3.0315 42.749162),True,3.0315,42.749162,train,1650
46,2018,0.0,1.0,MEDITERRANEAN,France,7244.0,1741,POINT (4.991745 43.433207),True,4.991745,43.433207,train,1741
56,2020,3.0,25.0,MEDITERRANEAN,France,7871.0,1972,POINT (3.958843 43.567651),True,3.958843,43.567651,train,1972
65,2019,10.0,-inf,MEDITERRANEAN,France,822.0,2472,POINT (3.141879 43.259381),True,3.141879,43.259381,train,2472
98,2020,10.0,30.0,MEDITERRANEAN,France,7714.0,4544,POINT (5.38642 44.0729),True,5.38642,44.0729,train,4544
121,2020,10.0,50.0,MEDITERRANEAN,France,5876.0,5316,POINT (3.038266 42.70752),True,3.038266,42.70752,train,5316
134,2019,10.0,-inf,MEDITERRANEAN,France,3775.0,7917,POINT (7.47635 43.9648),True,7.47635,43.9648,train,7917
193,2017,1.0,,MEDITERRANEAN,France,11193.0,7950,POINT (4.17761 43.84839),True,4.17761,43.84839,train,7950
216,2021,3.0,20.0,MEDITERRANEAN,France,5980.0,9112,POINT (4.984343 43.464208),True,4.984343,43.464208,train,9112
224,2018,1.0,,MEDITERRANEAN,France,876.0,9576,POINT (2.33904 43.14501),True,2.33904,43.14501,train,9576
246,2020,9.0,16.0,MEDITERRANEAN,France,7529.0,9805,POINT (7.036106 43.791196),True,7.036106,43.791196,train,9805
270,2019,10.0,40.0,MEDITERRANEAN,France,4431.0,11039,POINT (5.486416 43.204942),True,5.486416,43.204942,train,11039
284,2021,4.0,200.0,MEDITERRANEAN,France,9581.0,11406,POINT (3.401909 43.33027),True,3.401909,43.33027,train,11406
306,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,14316,POINT (3.513773 43.328582),True,3.513773,43.328582,train,14316
