,common_name,latin_name
0,Silver fir,Abies alba
1,Circum-Mediterranean firs,Abies spp.
2,Field maple,Acer campestre
3,Norway maple,Acer platanoides
4,Sycamore maple,Acer pseudoplatanus
5,European horse-chestnut,Aesculus hippocastanum
6,Tree of heaven,Ailanthus altissima
7,Italian alder,Alnus cordata
8,Common alder,Alnus glutinosa
9,Grey alder,Alnus incana
10,Green alder,Alnus viridis
11,Birches,Betula spp.
12,Common hornbeam,Carpinus betulus
13,Oriental hornbeam,Carpinus orientalis
14,Sweet chestnut,Castanea sativa
15,Nettle tree,Celtis australis
16,Lawson cypress,Chamaecyparis lawsoniana
17,Cornelian cherry,Cornus mas
18,Common dogwood,Cornus sanguinea
19,Common hazel,Corylus avellana
20,Mediterranean cypress,Cupressus sempervirens
21,Tasmanian blue gum,Eucalyptus globulus
22,Spindle tree,Euonymus europaeus
23,European beech,Fagus sylvatica
24,Alder buckthorn,Frangula alnus
25,Narrow-leaved ash,Fraxinus angustifolia
26,Common ash,Fraxinus excelsior
27,Manna ash,Fraxinus ornus
28,European holly,Ilex aquifolium
29,Common walnut,Juglans regia
30,Common juniper,Juniperus communis
31,Prickly juniper,Juniperus oxycedrus
32,Phoenician juniper,Juniperus phoenicea
33,Spanish juniper,Juniperus thurifera
34,European larch,Larix decidua
35,Olive,Olea europaea
36,European hop-hornbeam,Ostrya carpinifolia
37,Norway spruce,Picea abies
38,Serbian spruce,Picea omorika
39,Sitka Spruce,Picea sitchensis
40,Arolla pine,Pinus cembra
41,Aleppo and Turkish pine,Pinus halepensis and Pinus brutia
42,Dwarf mountain pine,Pinus mugo
43,Black pine,Pinus nigra
44,Maritime pine,Pinus pinaster
45,Stone pine,Pinus pinea
46,Scots pine,Pinus sylvestris
47,White poplar,Populus alba
48,Black poplar,Populus nigra
49,Eurasian aspen,Populus tremula
50,Wild cherry,Prunus avium
51,Cherry plum,Prunus cerasifera
52,Mahaleb cherry,Prunus mahaleb
53,Bird cherry,Prunus padus
54,Blackthorn,Prunus spinosa
55,Douglas fir,Pseudotsuga menziesii
56,Turkey oak,Quercus cerris
57,Hungarian oak,Quercus frainetto
58,Holm oak,Quercus ilex
59,Pin oak,Quercus palustris
60,Downy oak,Quercus pubescens
61,Pyrenean oak,Quercus pyrenaica
62,Pedunculate and sessile oak,Quercus robur and Quercus petraea
63,Cork oak,Quercus suber
64,Black locust,Robinia pseudoacacia
65,White willow,Salix alba
66,Goat willow,Salix caprea
67,Black elderberry,Sambucus nigra
68,Common whitebeam,Sorbus aria
69,Rowan,Sorbus aucuparia
70,Service tree,Sorbus domestica
71,Wild service tree,Sorbus torminalis
72,Tamarisks,Tamarix spp.
73,European yew,Taxus baccata
74,Limes,Tilia spp.
75,Elms,Ulmus spp.
