id,lat,lon,geometry,in_polygon,split
470454,43.54184,6.78338,POINT (6.78338 43.54184),True,train
570942,43.54976,6.73513,POINT (6.73513 43.54976),True,train
470170,43.56208,6.66163,POINT (6.66163 43.56208),True,train
438482,42.4272,2.47885,POINT (2.47885 42.4272),True,train
1256185,42.50005,2.76524,POINT (2.76524 42.50005),True,train
967805,44.47791,3.303906,POINT (3.303906 44.47791),True,train
1144991,43.3007,3.01983,POINT (3.01983 43.3007),True,train
1112186,43.74719,5.501157,POINT (5.501157 43.74719),True,train
914414,44.31311,3.273118,POINT (3.273118 44.31311),True,train
773608,43.19423,2.53918,POINT (2.53918 43.19423),True,train
1180264,44.04489,4.554258,POINT (4.554258 44.04489),True,train
1289028,42.81734,2.71014,POINT (2.71014 42.81734),True,train
1144596,43.67313,4.365972,POINT (4.365972 43.67313),True,train
1127045,44.28997,3.476798,POINT (3.476798 44.28997),True,train
949927,42.8004,2.858398,POINT (2.858398 42.8004),True,train
879272,43.9068,4.01916,POINT (4.01916 43.9068),True,train
949930,43.29819,6.003613,POINT (6.003613 43.29819),True,train
773616,42.75621,2.49681,POINT (2.49681 42.75621),True,train
826344,43.13883,6.088003,POINT (6.088003 43.13883),True,train
932164,42.70949,2.60002,POINT (2.60002 42.70949),True,train
721036,43.626,6.575171,POINT (6.575171 43.626),True,train
1197915,43.72017,6.693493,POINT (6.693493 43.72017),True,train
985821,43.88707,7.503878,POINT (7.503878 43.88707),True,train
1180486,43.68804,6.819173,POINT (6.819173 43.68804),True,train
854914,43.44998,2.82862,POINT (2.82862 43.44998),True,train
1162571,43.99674,5.03284,POINT (5.03284 43.99674),True,train
949934,43.14704,6.308518,POINT (6.308518 43.14704),True,train
808411,43.36619,3.1851,POINT (3.1851 43.36619),True,train
668060,43.71746,4.18779,POINT (4.18779 43.71746),True,train
949928,43.60506,2.71,POINT (2.71 43.60506),True,train
1091297,43.85854,4.12394,POINT (4.12394 43.85854),True,train
931810,42.58481,2.884267,POINT (2.884267 42.58481),True,train
1256301,43.1199,2.17875,POINT (2.17875 43.1199),True,train
31907,42.38452,2.07674,POINT (2.07674 42.38452),True,train
1326835,42.67213,2.70356,POINT (2.70356 42.67213),True,train
1162873,44.40772,3.33738,POINT (3.33738 44.40772),True,train
1307990,42.4706,2.70962,POINT (2.70962 42.4706),True,train
1233100,42.49141,2.68941,POINT (2.68941 42.49141),True,train
755940,43.26535,1.81325,POINT (1.81325 43.26535),True,train
1322047,42.54508,2.25713,POINT (2.25713 42.54508),True,train
1205529,42.62225,2.37185,POINT (2.37185 42.62225),True,train
1073618,43.19729,2.83494,POINT (2.83494 43.19729),True,train
790934,43.77994,5.424087,POINT (5.424087 43.77994),True,train
668145,43.78913,4.5038,POINT (4.5038 43.78913),True,train
575611,43.40841,3.36614,POINT (3.36614 43.40841),True,train
985784,43.75461,5.674357,POINT (5.674357 43.75461),True,train
878968,44.04394,4.20467,POINT (4.20467 44.04394),True,train
949636,43.49682,3.24411,POINT (3.24411 43.49682),True,train
985381,44.01748,4.05753,POINT (4.05753 44.01748),True,train
703513,43.21368,6.156834,POINT (6.156834 43.21368),True,train
1312808,42.95637,2.76511,POINT (2.76511 42.95637),True,train
1312817,43.27776,6.37684,POINT (6.37684 43.27776),True,train
896856,44.56444,3.243158,POINT (3.243158 44.56444),True,train
1233251,43.21758,2.1243,POINT (2.1243 43.21758),True,train
949557,44.15797,3.39173,POINT (3.39173 44.15797),True,train
1237965,43.44592,4.93392,POINT (4.93392 43.44592),True,train
808692,43.42445,3.524678,POINT (3.524678 43.42445),True,train
721013,43.94337,4.6887,POINT (4.6887 43.94337),True,train
773628,43.27926,5.980278,POINT (5.980278 43.27926),True,train
1021045,43.46375,6.584661,POINT (6.584661 43.46375),True,train
1293814,42.76154,2.42584,POINT (2.42584 42.76154),True,train
1038725,43.65652,3.473933,POINT (3.473933 43.65652),True,train
914399,43.37363,5.233961,POINT (5.233961 43.37363),True,train
1109394,43.49437,2.67487,POINT (2.67487 43.49437),True,train
686059,43.93227,3.542467,POINT (3.542467 43.93227),True,train
932168,43.76949,5.598712,POINT (5.598712 43.76949),True,train
879283,43.61106,3.05701,POINT (3.05701 43.61106),True,train
1162858,43.52577,6.828058,POINT (6.828058 43.52577),True,train
715787,43.80144,3.47163,POINT (3.47163 43.80144),True,train
