surveyId,latitude,longitude,speciesId,GBIF_species_id,GBIF_species_name,GBIF_genus_name,GBIF_family_name,GBIF_kingdom_name,subset
3580978,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
3580978,43.519427,3.796463,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
3580978,43.519427,3.796463,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
3901881,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4064325,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4064325,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5224976,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5533266,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5550555,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6357930,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6766051,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
6975824,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6975824,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
3253231,43.526398,3.866501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
