surveyId,latitude,longitude,speciesId,GBIF_species_id,GBIF_species_name,GBIF_genus_name,GBIF_family_name,GBIF_kingdom_name,subset
1000,43.519427,3.796463,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
1000,43.519427,3.796463,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,test
1000,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1000,43.519427,3.796463,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,test
1001,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1001,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
1001,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
1001,43.520398,3.896501,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1002,43.634584,3.793716,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1002,43.634584,3.793716,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1002,43.634584,3.793716,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1002,43.634584,3.793716,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1012,43.731166,3.887787,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1012,43.731166,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,test
1012,43.731166,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,test
1012,43.731166,3.887787,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
1013,43.597549,3.965378,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,test
1013,43.597549,3.965378,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1013,43.597549,3.965378,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1013,43.597549,3.965378,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
1003,43.627875,3.890533,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1003,43.627875,3.890533,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,train
1003,43.627875,3.890533,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1003,43.627875,3.890533,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
1004,43.488549,3.760071,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1004,43.488549,3.760071,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,train
1004,43.488549,3.760071,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
1004,43.488549,3.760071,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1005,43.522415,3.863068,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1005,43.522415,3.863068,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1005,43.522415,3.863068,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1005,43.522415,3.863068,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1006,43.695928,3.783417,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1006,43.695928,3.783417,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
1006,43.695928,3.783417,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
1006,43.695928,3.783417,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
1007,43.765391,3.882980,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,train
1007,43.765391,3.882980,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1007,43.765391,3.882980,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
1007,43.765391,3.882980,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
1008,43.653714,3.701706,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
1008,43.653714,3.701706,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
1008,43.653714,3.701706,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
1008,43.653714,3.701706,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
1009,43.433746,3.710782,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
1009,43.615359,3.892395,1,2927230,Ophrys apifera,Stachys,Lamiaceae,Plantae,val
1009,43.498142,3.775178,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1009,43.301242,3.578278,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,val
1010,43.805968,4.182071,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1010,43.274791,3.650894,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
1010,43.56207,3.938173,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
1010,43.340048,3.716151,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1011,43.526309,3.685441,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1011,43.899804,4.058936,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1011,43.847895,4.007027,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
1011,43.72226,3.881392,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,val
