species_id;GBIF_species_id;GBIF_species_name;GBIF_genus_name;GBIF_family_name;GBIF_kingdom_name
0;5356345;Laburnum anagyroides;Laburnum;Fabaceae;Plantae
1;2874515;Cucurbita maxima;Cucurbita;Cucurbitaceae;Plantae
2;2874569;Cucumis sativus;Cucumis;Cucurbitaceae;Plantae
3;3033363;Ranunculus acris;Ranunculus;Ranunculaceae;Plantae
4;3034830;Heracleum sphondylium;Heracleum;Apiaceae;Plantae
5;2888380;Eschscholzia californica;Eschscholzia;Papaveraceae;Plantae
6;5333294;Castanea sativa;Castanea;Fagaceae;Plantae
7;2770868;Aphyllanthes monspeliensis;Aphyllanthes;Asparagaceae;Plantae
8;7311306;Daphne gnidium;Daphne;Thymelaeaceae;Plantae
9;2925303;Lantana camara;Lantana;Verbenaceae;Plantae
10;2891079;Geranium macrorrhizum;Geranium;Geraniaceae;Plantae
11;3153912;Magnolia stellata;Magnolia;Magnoliaceae;Plantae
12;7749287;Petasites albus;Petasites;Asteraceae;Plantae
13;3738478;Lathraea squamaria;Lathraea;Orobanchaceae;Plantae
14;6370689;Capparis spinosa;Capparis;Capparaceae;Plantae
15;5372513;Salix alba;Salix;Salicaceae;Plantae
16;2853283;Pancratium maritimum;Pancratium;Amaryllidaceae;Plantae
17;2683217;Cycas revoluta;Cycas;Cycadaceae;Plantae
18;3125948;Santolina decumbens;Santolina;Asteraceae;Plantae
19;2891488;Geranium molle;Geranium;Geraniaceae;Plantae
20;3053522;Berteroa incana;Berteroa;Brassicaceae;Plantae
21;3833284;Choisya ternata;Choisya;Rutaceae;Plantae
22;5364245;Poterium sanguisorba;Poterium;Rosaceae;Plantae
23;2705185;Sorghum halepense;Sorghum;Poaceae;Plantae
24;2869680;Spathiphyllum wallisii;Spathiphyllum;Araceae;Plantae
25;5284871;Picea pungens;Picea;Pinaceae;Plantae
26;2985865;Hylotelephium telephium;Hylotelephium;Crassulaceae;Plantae
27;2927245;Stachys palustris;Stachys;Lamiaceae;Plantae
28;5414457;Centaurium erythraea;Centaurium;Gentianaceae;Plantae
29;5324959;Himantoglossum robertianum;Himantoglossum;Orchidaceae;Plantae
30;2888728;Sambucus nigra;Sambucus;Adoxaceae;Plantae
31;7298931;Centranthus angustifolius;Centranthus;Caprifoliaceae;Plantae
32;3169379;Lysimachia nummularia;Lysimachia;Primulaceae;Plantae
33;3089154;Xanthium strumarium;Xanthium;Asteraceae;Plantae
34;2773902;Anthericum liliago;Anthericum;Asparagaceae;Plantae
35;3188684;Cuphea ignea;Cuphea;Lythraceae;Plantae
36;3117449;Erigeron annuus;Erigeron;Asteraceae;Plantae
37;6371424;Rhamnus alaternus;Rhamnus;Rhamnaceae;Plantae
38;3025617;Cotoneaster horizontalis;Cotoneaster;Rosaceae;Plantae
39;2930617;Solanum melongena;Solanum;Solanaceae;Plantae
40;3033905;Berberis darwinii;Berberis;Berberidaceae;Plantae
41;7155887;Adenium obesum;Adenium;Apocynaceae;Plantae
42;5403304;Crepis capillaris;Crepis;Asteraceae;Plantae
43;3085191;Celosia argentea;Celosia;Amaranthaceae;Plantae
44;3002333;Rosa spinosissima;Rosa;Rosaceae;Plantae
45;2774846;Chlorophytum comosum;Chlorophytum;Asparagaceae;Plantae
